,Region,SKU_id,date,sales
0,NORTH,SKU-1,01/04/18,27
1,NORTH,SKU-1,01/05/18,13
2,NORTH,SKU-1,01/06/18,30
3,NORTH,SKU-1,01/07/18,14
4,NORTH,SKU-1,01/08/18,22
5,NORTH,SKU-1,01/09/18,8
6,NORTH,SKU-1,01/10/18,8
7,NORTH,SKU-1,01/11/18,8
8,NORTH,SKU-1,01/12/18,8
9,NORTH,SKU-1,01/01/19,8
10,NORTH,SKU-1,01/02/19,8
11,NORTH,SKU-1,01/03/19,13
12,NORTH,SKU-1,01/04/19,53
13,NORTH,SKU-1,01/05/19,19
14,NORTH,SKU-1,01/06/19,8
15,NORTH,SKU-1,01/07/19,12
16,NORTH,SKU-1,01/08/19,14
17,NORTH,SKU-1,01/09/19,12
18,NORTH,SKU-1,01/10/19,18
19,NORTH,SKU-1,01/11/19,8
20,NORTH,SKU-1,01/12/19,8
21,NORTH,SKU-1,01/01/20,8
22,NORTH,SKU-1,01/02/20,8
23,NORTH,SKU-1,01/03/20,14
24,NORTH,SKU-1,01/04/20,8
25,NORTH,SKU-1,01/05/20,9
26,NORTH,SKU-1,01/06/20,8
27,NORTH,SKU-1,01/07/20,8
28,NORTH,SKU-1,01/08/20,12
29,NORTH,SKU-1,01/09/20,8
30,NORTH,SKU-1,01/10/20,8
31,NORTH,SKU-1,01/11/20,8
32,NORTH,SKU-1,01/12/20,8
33,NORTH,SKU-1,01/01/21,8
34,NORTH,SKU-1,01/02/21,14
35,NORTH,SKU-1,01/03/21,16
36,NORTH,SKU-1,01/04/21,8
37,NORTH,SKU-1,01/05/21,12
38,NORTH,SKU-10,01/04/18,8
39,NORTH,SKU-10,01/05/18,8
40,NORTH,SKU-10,01/06/18,8
41,NORTH,SKU-10,01/07/18,8
42,NORTH,SKU-10,01/08/18,8
43,NORTH,SKU-10,01/09/18,8
44,NORTH,SKU-10,01/10/18,8
45,NORTH,SKU-10,01/11/18,8
46,NORTH,SKU-10,01/12/18,8
47,NORTH,SKU-10,01/01/19,8
48,NORTH,SKU-10,01/02/19,8
49,NORTH,SKU-10,01/03/19,588
50,NORTH,SKU-10,01/04/19,406
51,NORTH,SKU-10,01/05/19,129
52,NORTH,SKU-10,01/06/19,169
53,NORTH,SKU-10,01/07/19,110
54,NORTH,SKU-10,01/08/19,114
55,NORTH,SKU-10,01/09/19,299
56,NORTH,SKU-10,01/10/19,240
57,NORTH,SKU-10,01/11/19,331
58,NORTH,SKU-10,01/12/19,364
59,NORTH,SKU-10,01/01/20,346
60,NORTH,SKU-10,01/02/20,149
61,NORTH,SKU-10,01/03/20,352
62,NORTH,SKU-10,01/04/20,8
63,NORTH,SKU-10,01/05/20,106
64,NORTH,SKU-10,01/06/20,108
65,NORTH,SKU-10,01/07/20,148
66,NORTH,SKU-10,01/08/20,237
67,NORTH,SKU-10,01/09/20,244
68,NORTH,SKU-10,01/10/20,235
69,NORTH,SKU-10,01/11/20,140
70,NORTH,SKU-10,01/12/20,524
71,NORTH,SKU-10,01/01/21,396
72,NORTH,SKU-10,01/02/21,252
73,NORTH,SKU-10,01/03/21,945
74,NORTH,SKU-10,01/04/21,92
75,NORTH,SKU-10,01/05/21,40
76,NORTH,SKU-100,01/04/18,91
77,NORTH,SKU-100,01/05/18,11
78,NORTH,SKU-100,01/06/18,171
79,NORTH,SKU-100,01/07/18,171
80,NORTH,SKU-100,01/08/18,99
81,NORTH,SKU-100,01/09/18,11
82,NORTH,SKU-100,01/10/18,99
83,NORTH,SKU-100,01/11/18,187
84,NORTH,SKU-100,01/12/18,327
85,NORTH,SKU-100,01/01/19,115
86,NORTH,SKU-100,01/02/19,227
87,NORTH,SKU-100,01/03/19,11
88,NORTH,SKU-100,01/04/19,211
89,NORTH,SKU-100,01/05/19,603
90,NORTH,SKU-100,01/06/19,11
91,NORTH,SKU-100,01/07/19,491
92,NORTH,SKU-100,01/08/19,299
93,NORTH,SKU-100,01/09/19,11
94,NORTH,SKU-100,01/10/19,39
95,NORTH,SKU-100,01/11/19,51
96,NORTH,SKU-100,01/12/19,27
97,NORTH,SKU-100,01/01/20,51
98,NORTH,SKU-100,01/02/20,27
99,NORTH,SKU-100,01/03/20,27
100,NORTH,SKU-100,01/04/20,11
101,NORTH,SKU-100,01/05/20,11
102,NORTH,SKU-100,01/06/20,43
103,NORTH,SKU-100,01/07/20,131
104,NORTH,SKU-100,01/08/20,11
105,NORTH,SKU-100,01/09/20,239
106,NORTH,SKU-100,01/10/20,411
107,NORTH,SKU-100,01/11/20,11
108,NORTH,SKU-100,01/12/20,211
109,NORTH,SKU-100,01/01/21,43
110,NORTH,SKU-100,01/02/21,519
111,NORTH,SKU-100,01/03/21,411
112,NORTH,SKU-100,01/04/21,11
113,NORTH,SKU-100,01/05/21,11
114,NORTH,SKU-101,01/04/18,14
115,NORTH,SKU-101,01/05/18,14
116,NORTH,SKU-101,01/06/18,14
117,NORTH,SKU-101,01/07/18,14
118,NORTH,SKU-101,01/08/18,14
119,NORTH,SKU-101,01/09/18,14
120,NORTH,SKU-101,01/10/18,14
121,NORTH,SKU-101,01/11/18,14
122,NORTH,SKU-101,01/12/18,14
123,NORTH,SKU-101,01/01/19,14
124,NORTH,SKU-101,01/02/19,14
125,NORTH,SKU-101,01/03/19,14
126,NORTH,SKU-101,01/04/19,14
127,NORTH,SKU-101,01/05/19,14
128,NORTH,SKU-101,01/06/19,14
129,NORTH,SKU-101,01/07/19,14
130,NORTH,SKU-101,01/08/19,14
131,NORTH,SKU-101,01/09/19,14
132,NORTH,SKU-101,01/10/19,14
133,NORTH,SKU-101,01/11/19,14
134,NORTH,SKU-101,01/12/19,14
135,NORTH,SKU-101,01/01/20,14
136,NORTH,SKU-101,01/02/20,14
137,NORTH,SKU-101,01/03/20,14
138,NORTH,SKU-101,01/04/20,14
139,NORTH,SKU-101,01/05/20,14
140,NORTH,SKU-101,01/06/20,14
141,NORTH,SKU-101,01/07/20,16
142,NORTH,SKU-101,01/08/20,14
143,NORTH,SKU-101,01/09/20,14
144,NORTH,SKU-101,01/10/20,130
145,NORTH,SKU-101,01/11/20,76
146,NORTH,SKU-101,01/12/20,152
147,NORTH,SKU-101,01/01/21,58
148,NORTH,SKU-101,01/02/21,14
149,NORTH,SKU-101,01/03/21,330
150,NORTH,SKU-101,01/04/21,120
151,NORTH,SKU-101,01/05/21,14
152,NORTH,SKU-102,01/04/18,16
153,NORTH,SKU-102,01/05/18,16
154,NORTH,SKU-102,01/06/18,16
155,NORTH,SKU-102,01/07/18,16
156,NORTH,SKU-102,01/08/18,16
157,NORTH,SKU-102,01/09/18,16
158,NORTH,SKU-102,01/10/18,16
159,NORTH,SKU-102,01/11/18,16
160,NORTH,SKU-102,01/12/18,16
161,NORTH,SKU-102,01/01/19,16
162,NORTH,SKU-102,01/02/19,16
163,NORTH,SKU-102,01/03/19,16
164,NORTH,SKU-102,01/04/19,16
165,NORTH,SKU-102,01/05/19,16
166,NORTH,SKU-102,01/06/19,16
167,NORTH,SKU-102,01/07/19,16
168,NORTH,SKU-102,01/08/19,16
169,NORTH,SKU-102,01/09/19,16
170,NORTH,SKU-102,01/10/19,16
171,NORTH,SKU-102,01/11/19,16
172,NORTH,SKU-102,01/12/19,16
173,NORTH,SKU-102,01/01/20,16
174,NORTH,SKU-102,01/02/20,16
175,NORTH,SKU-102,01/03/20,16
176,NORTH,SKU-102,01/04/20,16
177,NORTH,SKU-102,01/05/20,16
178,NORTH,SKU-102,01/06/20,16
179,NORTH,SKU-102,01/07/20,16
180,NORTH,SKU-102,01/08/20,16
181,NORTH,SKU-102,01/09/20,16
182,NORTH,SKU-102,01/10/20,121
183,NORTH,SKU-102,01/11/20,23
184,NORTH,SKU-102,01/12/20,16
185,NORTH,SKU-102,01/01/21,125
186,NORTH,SKU-102,01/02/21,61
187,NORTH,SKU-102,01/03/21,127
188,NORTH,SKU-102,01/04/21,96
189,NORTH,SKU-102,01/05/21,25
190,NORTH,SKU-103,01/04/18,103
191,NORTH,SKU-103,01/05/18,121
192,NORTH,SKU-103,01/06/18,103
193,NORTH,SKU-103,01/07/18,10
194,NORTH,SKU-103,01/08/18,115
195,NORTH,SKU-103,01/09/18,133
196,NORTH,SKU-103,01/10/18,190
197,NORTH,SKU-103,01/11/18,103
198,NORTH,SKU-103,01/12/18,166
199,NORTH,SKU-103,01/01/19,103
200,NORTH,SKU-103,01/02/19,34
201,NORTH,SKU-103,01/03/19,16
202,NORTH,SKU-103,01/04/19,55
203,NORTH,SKU-103,01/05/19,16
204,NORTH,SKU-103,01/06/19,28
205,NORTH,SKU-103,01/07/19,106
206,NORTH,SKU-103,01/08/19,10
207,NORTH,SKU-103,01/09/19,331
208,NORTH,SKU-103,01/10/19,112
209,NORTH,SKU-103,01/11/19,151
210,NORTH,SKU-103,01/12/19,175
211,NORTH,SKU-103,01/01/20,58
212,NORTH,SKU-103,01/02/20,76
213,NORTH,SKU-103,01/03/20,28
214,NORTH,SKU-103,01/04/20,10
215,NORTH,SKU-103,01/05/20,37
216,NORTH,SKU-103,01/06/20,85
217,NORTH,SKU-103,01/07/20,43
218,NORTH,SKU-103,01/08/20,118
219,NORTH,SKU-103,01/09/20,79
220,NORTH,SKU-103,01/10/20,85
221,NORTH,SKU-103,01/11/20,58
222,NORTH,SKU-103,01/12/20,100
223,NORTH,SKU-103,01/01/21,43
224,NORTH,SKU-103,01/02/21,79
225,NORTH,SKU-103,01/03/21,196
226,NORTH,SKU-103,01/04/21,13
227,NORTH,SKU-103,01/05/21,55
228,NORTH,SKU-104,01/04/18,304
229,NORTH,SKU-104,01/05/18,224
230,NORTH,SKU-104,01/06/18,56
231,NORTH,SKU-104,01/07/18,96
232,NORTH,SKU-104,01/08/18,52
233,NORTH,SKU-104,01/09/18,304
234,NORTH,SKU-104,01/10/18,232
235,NORTH,SKU-104,01/11/18,384
236,NORTH,SKU-104,01/12/18,192
237,NORTH,SKU-104,01/01/19,172
238,NORTH,SKU-104,01/02/19,20
239,NORTH,SKU-104,01/03/19,224
240,NORTH,SKU-104,01/04/19,224
241,NORTH,SKU-104,01/05/19,212
242,NORTH,SKU-104,01/06/19,120
243,NORTH,SKU-104,01/07/19,220
244,NORTH,SKU-104,01/08/19,136
245,NORTH,SKU-104,01/09/19,224
246,NORTH,SKU-104,01/10/19,248
247,NORTH,SKU-104,01/11/19,328
248,NORTH,SKU-104,01/12/19,224
249,NORTH,SKU-104,01/01/20,56
250,NORTH,SKU-104,01/02/20,96
251,NORTH,SKU-104,01/03/20,108
252,NORTH,SKU-104,01/04/20,4
253,NORTH,SKU-104,01/05/20,200
254,NORTH,SKU-104,01/06/20,200
255,NORTH,SKU-104,01/07/20,180
256,NORTH,SKU-104,01/08/20,260
257,NORTH,SKU-104,01/09/20,272
258,NORTH,SKU-104,01/10/20,324
259,NORTH,SKU-104,01/11/20,60
260,NORTH,SKU-104,01/12/20,200
